Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	1.503028	1.7331661	3.7412019	-0.4813507	47.666668	8.37987	59.0	39.0	1000.0	143.0	0.04766666666666667	0.61598885	0.5399657	1.8889041	-1.0348885	-0.44883347	0.12598073	0.0064354837	-0.76722455	-4.5935312e-08	0.03841144	8.730094e-08	0.003090858	0.755409	-0.6825541	38.75577	-24.127123	0	0	1.0	1.837877	0.0627825	3000	12.484256267547607
1	0.20830822	1.4372829	1.9405993	-1.5787331	32.666668	35.49022	82.0	0.0	1000.0	241.0	0.04016666666666667	0.13919528	0.3904897	1.1131966	-0.75095886	4.4766426	1.6270927	9.061398	0.93889976	2.749761e-08	0.022952512	1.525879e-08	0.0042469315	0.09599792	-0.05436012	28.955229	-11.535997	0	0	1.0	1.837225	0.042887583	6000	22.66374397277832
2	1.2730569	0.4544078	1.8073053	0.6966373	151.66667	33.20977	184.0	106.0	1000.0	696.0	0.07733333333333334	0.115428	0.33031943	1.0112085	-0.70409745	6.281296	3.5298636	14.613872	-2.7342837	2.193451e-08	0.032704752	-5.9048336e-08	-0.044910483	0.056883086	-0.03996753	143.4561	-92.540115	0	0	1.0	1.8370991	0.050193325	9000	33.89448118209839
3	2.752262	1.8910421	4.5099487	0.12786344	38.0	17.20465	60.0	18.0	1000.0	810.0	0.0675	0.15232131	0.35604545	1.2779748	-0.61724967	11.291814	6.219128	24.226389	-6.0969176	-1.2079875e-08	-0.022647094	-1.1698405e-07	-0.021785708	0.0883072	-0.046268053	103.83823	-76.7157	0	0	55.0	1.8371384	0.010767522	12000	46.00717830657959
4	-1.845318	0.10386681	-1.698514	-1.9230671	63.333332	52.68987	129.0	0.0	1000.0	1000.0	0.06666666666666667	0.04732898	0.31349692	0.85470283	-0.7254519	2.0426104	2.6539764	11.575044	-2.7748969	1.2556712e-08	-0.023434654	-1.0283788e-07	-0.004810946	0.08877176	-0.06481002	55.90739	-34.439255	0	0	63.0	1.8394656	0.011428046	15000	58.54111409187317
5	-0.050587654	0.7220066	0.5741471	-1.0623978	46.0	38.40139	94.0	0.0	1000.0	1138.0	0.06322222222222222	-0.058203876	0.44457284	1.0194448	-1.2234074	7.7540326	6.3930693	21.816597	-2.422821	-1.0808309e-08	-0.009519577	7.120768e-08	-0.001947148	0.065075316	-0.050097264	33.996674	-16.005283	0	0	11.0	1.8192065	0.0058086966	18000	70.0143210887909
6	-0.452818	1.0476519	0.9740264	-1.5118527	56.0	41.21488	98.0	0.0	1000.0	1306.0	0.06219047619047619	-0.014431072	0.3111334	0.7435355	-0.9946971	7.3577886	4.9791064	22.665247	-1.705201	-2.984206e-08	-0.0055691116	-6.548564e-08	0.0033683751	0.10636067	-0.067688465	30.883057	-17.366808	0	0	6.0	1.8138155	0.0026800563	21000	80.99991607666016
7	3.7245467	1.9848077	6.2544513	1.4065605	102.666664	14.055446	115.0	83.0	1000.0	1614.0	0.06725	0.051533345	0.37800887	1.0286483	-1.015152	9.386594	3.3311074	20.341791	0.8516784	-1.001358e-08	-0.0013080317	7.009506e-08	0.0051370426	0.36104056	-0.24654314	32.507763	-12.222023	0	0	1.0	1.812228	0.0011405243	24000	91.73487520217896
8	2.4962227	2.7078173	5.0002794	-1.2649264	70.666664	28.170116	105.0	36.0	1000.0	1826.0	0.06762962962962962	0.51634103	0.52265763	2.1182318	-0.8149354	8.807269	4.800316	21.12414	0.18071885	-2.892812e-08	-0.0031581766	1.1014939e-07	0.0034985084	0.17705409	-0.13748442	22.867609	-11.419021	0	0	1.0	1.8121579	0.004325948	27000	102.41079711914062
9	1.7397567	1.4053277	2.9758525	-0.22605583	88.666664	85.846115	207.0	6.0	1000.0	2092.0	0.06973333333333333	0.37979984	0.58639085	1.6503963	-0.8973311	11.499479	4.278927	23.32999	2.52752	-1.859665e-08	-0.026522025	1.780192e-08	-0.0044355327	0.1621025	-0.06948683	97.53352	-57.54174	0	0	64.0	1.8121362	0.011153677	30000	114.67232728004456
