Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.14058468	0.32551792	0.18244714	-0.65586007	113.75	59.14125	211.0	61.0	1000.0	455.0	0.11375	0.19644731	0.41932324	0.924267	-1.1446093	0.91488004	0.39977983	1.7199799	-0.00305295	-1.6298145e-09	-0.0035592983	1.1920929e-07	0.009769343	0.3347814	-0.2943159	372.78677	-98.76058	0	0	1.0	1.837877	0.0030192225	4000	7.13299822807312
1	-0.2549521	0.76515514	0.9597765	-1.1369177	123.25	57.655766	195.0	40.0	1000.0	948.0	0.1185	-0.023481736	0.30119988	0.55233496	-0.848716	10.629639	0.71451324	11.358596	7.4988503	9.313226e-10	-0.02587974	5.9604645e-08	-0.023871586	0.047366478	-0.031998258	214.82639	-31.439327	0	0	79.0	1.8390632	0.009284405	8000	11.15267014503479
2	2.0976808	2.6918304	5.6802816	-1.424368	108.0	88.67638	243.0	26.0	1000.0	1380.0	0.115	0.110546395	0.29593965	0.7426458	-0.63255686	12.260627	2.1428692	15.189987	5.3185368	0.0	-0.027749978	-2.3841858e-07	-0.044680007	0.100736	-0.07341755	208.09558	-44.573948	0	0	79.0	1.8151801	0.009636148	12000	15.377571105957031
3	0.592325	2.1032937	3.3498218	-1.4677066	104.75	72.14352	226.0	36.0	1000.0	1799.0	0.1124375	0.19898607	0.3982898	1.4082779	-0.62830055	9.012865	5.6299543	18.998629	-1.7576661	0.0	-0.029200582	-5.9604645e-08	0.008899309	0.07334463	-0.03985692	149.9798	-34.949764	0	0	79.0	1.7882869	0.010018555	16000	19.77508807182312
4	3.5363321	2.3263447	6.9890685	0.92020756	62.25	34.42655	102.0	21.0	1000.0	2048.0	0.1024	0.18612216	0.47332123	1.2143427	-0.818322	8.74043	5.465305	21.674278	-0.30078384	2.2351742e-08	-0.0294235	3.3527613e-08	-0.02410252	0.14455207	-0.08941224	53.873642	-26.540375	0	0	79.0	1.7592903	0.011193121	20000	24.214542150497437
5	7.018986	1.6486994	8.976884	4.4096484	107.75	39.62559	174.0	70.0	1000.0	2479.0	0.10329166666666667	0.7268213	0.37316015	1.6073978	-0.45018706	8.7029085	4.8490653	21.817867	0.15798622	0.0	-0.031639636	-7.4505806e-08	-0.0091228895	0.13222824	-0.063443065	65.631134	-18.758923	0	0	79.0	1.7223842	0.011803174	24000	28.697594165802002
6	4.9137216	2.5897372	9.3055525	2.9645026	77.5	22.544401	115.0	55.0	1000.0	2789.0	0.09960714285714285	0.65072435	0.4300887	1.8497871	-0.39985266	8.517336	6.0430384	23.583084	0.28177077	-1.6763806e-08	-0.03330058	-4.284084e-08	-0.015363045	0.10457297	-0.06460242	67.44159	-24.793364	0	0	76.0	1.7063717	0.011784986	28000	33.12622308731079
7	8.008657	1.5794418	10.114223	6.3274894	126.25	64.16531	176.0	17.0	1000.0	3294.0	0.1029375	0.6550185	0.45520937	1.9069806	-0.6313011	8.889764	6.053952	24.438423	-0.9304216	1.1175871e-08	-0.02227429	5.9604645e-08	0.00089392066	0.19900021	-0.12162242	161.06174	-69.01733	0	0	25.0	1.6880941	0.012301703	32000	36.9675612449646
8	8.571962	1.3074844	10.173482	7.029075	66.75	44.940933	141.0	20.0	1000.0	3561.0	0.09891666666666667	0.82116085	0.47420514	2.1627066	-0.34169385	12.09088	8.021034	25.959827	-1.1744053	-7.450581e-09	-0.031440295	-1.4901161e-08	0.004398823	0.116077594	-0.08059162	113.93801	-60.919327	0	0	79.0	1.6791708	0.010505466	36000	41.45890712738037
9	8.978583	1.7455486	10.806847	6.1041975	98.0	88.12491	248.0	24.0	1000.0	3953.0	0.098825	0.95070434	0.41064775	1.7307976	-0.2804483	7.8652673	3.6084223	23.825954	2.2407482	-2.4214387e-08	-0.031282566	-5.9604645e-08	0.011553913	0.07785286	-0.038813777	173.59619	-69.98315	0	0	79.0	1.6444602	0.010886606	40000	45.95001006126404
10	11.80165	2.1103988	14.437269	8.890978	52.0	8.514693	64.0	40.0	1000.0	4161.0	0.09456818181818182	0.9727452	0.35985273	1.8449812	-0.07458908	8.207629	5.615648	29.568188	4.002769	4.4703484e-08	-0.0049283765	7.4505806e-08	0.004411446	0.12759826	-0.080280915	41.56794	-20.34143	0	0	3.0	1.6206008	0.00916303	44000	49.77461814880371
11	12.959927	2.307249	15.806225	10.17276	44.75	36.54706	102.0	7.0	1000.0	4340.0	0.09041666666666667	1.1579956	0.41603348	2.0883732	-0.0019248789	6.5795126	4.502544	29.348368	1.5607312	3.7252903e-09	-0.028734181	-1.4901161e-08	0.021391135	0.1504437	-0.07613718	41.58665	-18.382338	0	0	61.0	1.6188226	0.01188317	48000	54.00984501838684
