Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.7779074	1.9716078	5.750725	-1.6912328	83.26667	67.13515	208.0	0.0	1000.0	2498.0	0.08326666666666667	0.611177	0.5430859	2.028936	-1.2112343	-0.44123104	0.12094053	0.10231483	-0.845433	-5.086263e-10	0.016370693	-2.766927e-07	-0.0048161866	0.7690597	-0.65375084	143.57492	-98.1245	0	0	1.0	1.837877	0.016170379	30000	122.94656109809875
1	1.0313944	2.5444894	7.993342	-2.4673991	67.333336	58.77887	250.0	0.0	1000.0	4518.0	0.0753	0.15943035	0.36613107	1.3005464	-0.98323756	5.5262656	6.126472	17.981281	-6.3530693	1.0172526e-08	0.073074564	-4.8828124e-08	0.0029291993	0.13360344	-0.039890416	39.72575	-6.1995735	0	0	1.0	1.8376666	0.10898471	60000	244.88409781455994
2	0.8585657	1.98514	7.074178	-1.4480394	94.03333	68.34787	244.0	0.0	1000.0	7339.0	0.08154444444444445	0.11828741	0.5011107	1.6270065	-1.1077173	8.258644	5.530172	21.46507	-3.0799713	-1.1189779e-08	0.0009608592	-2.0345052e-08	0.0008789368	0.087029405	-0.029624514	47.840736	-7.6214066	0	0	1.0	1.8383708	0.0060959016	90000	366.548597574234
3	1.2448132	1.7385721	6.4254026	-1.2519284	109.666664	77.83158	274.0	0.0	1000.0	10629.0	0.088575	0.1148442	0.37185952	1.2820286	-0.7019842	11.301353	6.8965716	27.629847	-4.35132	-9.6639e-09	5.9735106e-05	-1.6276042e-08	0.007821696	0.06422062	-0.0046397	54.406628	-10.232212	0	0	1.0	1.8389055	0.003909153	120000	487.6328561306
4	1.1662012	2.3907819	10.391337	-2.7234263	93.7	81.79941	259.0	0.0	1000.0	13440.0	0.0896	0.117978014	0.38304484	1.2668377	-0.746852	10.845527	7.628724	32.51722	-4.984637	2.9246012e-09	-0.008581189	-8.951823e-08	0.00203339	0.08663278	-0.011028536	66.15877	-11.340683	0	0	79.0	1.8392543	0.005659593	150000	622.7539176940918
5	1.9162647	2.1075957	8.843618	-1.4517123	106.53333	62.73475	304.0	0.0	1000.0	16636.0	0.09242222222222223	0.124216504	0.37623277	1.3893116	-0.6649628	11.35112	7.008935	32.962532	-2.3901334	0.0	-0.008080927	9.765625e-08	-0.0005522054	0.07880383	-0.013802424	59.885326	-8.600967	0	0	79.0	1.82391	0.006232035	180000	757.7840278148651
6	3.1466687	2.9401045	10.985231	-0.6153977	79.5	61.98266	250.0	0.0	1000.0	19021.0	0.09057619047619048	0.21837953	0.38132516	1.401014	-0.6110262	9.615483	6.1670547	34.81673	-2.1163323	2.0345052e-08	-0.009471688	-2.4414062e-08	-0.0005174561	0.11075469	-0.02283661	50.530426	-10.473572	0	0	79.0	1.8058314	0.006421185	210000	892.8538014888763
7	3.7272525	2.1615305	9.348043	-1.2241249	117.6	77.411285	301.0	0.0	1000.0	22549.0	0.09395416666666667	0.37562966	0.44505993	1.824781	-0.6104718	10.295252	7.2204204	36.16232	-2.2746415	-4.0690105e-09	0.022505477	4.0690105e-09	0.0023026327	0.080194555	-0.009268142	70.195694	-14.076252	0	0	2.0	1.782652	0.030732917	240000	1015.0109488964081
8	4.2764835	2.9156842	11.492514	-0.15927508	99.23333	62.595894	282.0	0.0	1000.0	25526.0	0.09454074074074074	0.4395768	0.42956907	1.5977724	-0.3895454	10.848964	7.3730764	40.66388	-1.977671	-6.1035155e-09	0.0030773345	4.8828124e-08	-0.00348361	0.101996385	-0.01970724	70.89851	-14.013321	0	0	1.0	1.7827678	0.015596173	270000	1137.4828114509583
9	5.1174316	2.91654	14.896433	-0.27778456	93.8	79.255455	324.0	0.0	1000.0	28340.0	0.09446666666666667	0.43552208	0.43617788	1.874634	-0.5291077	9.688979	6.431425	41.840923	-1.0257888	6.1035155e-09	0.0061532105	-6.510417e-08	0.002935433	0.1239886	-0.018885285	60.453514	-13.553806	0	0	1.0	1.7828724	0.017297925	300000	1259.3844316005707
