Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.076793954	0.2847473	0.28390616	-0.4112266	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.13208622	0.27637058	1.4208876	-0.9168918	0.9683271	0.42801717	1.9803277	-0.81341094	-1.8626451e-08	-0.0045121433	6.9849193e-09	-0.0004454255	0.11288861	-0.0990348	0.979446	-0.927904	0	0	1.0	1.837877	0.0031489679	4000	5.439110994338989
1	-0.13115254	0.062178157	-0.027870178	-0.19169587	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.012535385	0.073695146	0.3850907	-0.3307348	0.119335756	0.13239402	0.764385	-0.51157796	1.4901161e-08	-0.032371856	-3.0267984e-09	0.000239201	0.010349236	-0.0048432364	0.030544132	-0.02642543	0	0	79.0	1.8366817	0.010421082	8000	9.8748779296875
2	-0.1788035	0.13901132	0.041299455	-0.3270647	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.014444597	0.049973067	0.18693566	-0.30098787	0.009264873	0.062375717	0.39596954	-0.29434532	-5.5879354e-09	-0.034853235	-2.6193447e-10	-0.00010368837	0.0057861563	-0.0019740453	0.0040641534	-0.0017941203	0	0	79.0	1.8502309	0.01003962	12000	14.179581880569458
3	-0.27414498	0.45391408	0.3812766	-0.8667469	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.012197586	0.04340441	0.2051492	-0.20472622	-0.0023520694	0.051162157	0.25969264	-0.3270728	-2.0489097e-08	-0.03510195	-2.3646862e-10	-2.858624e-05	0.007752152	-0.0025982044	0.0026621916	-0.0010371914	0	0	79.0	1.8257694	0.010728093	16000	18.45233988761902
4	0.104124874	0.1286439	0.2255507	-0.096170366	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.014994489	0.055818975	0.30959168	-0.1942944	0.00030481463	0.045357876	0.22567514	-0.32272688	6.519258e-09	-0.039632358	-4.3655746e-11	-7.825761e-05	0.009637552	-0.0039594043	0.0020869402	-0.0007264025	0	0	71.0	1.7900968	0.012258664	20000	22.18144702911377
5	0.65885514	0.43253574	1.3704828	0.20776883	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0011240146	0.061042298	0.23938076	-0.26246312	-0.0040406743	0.039364018	0.20006676	-0.20461519	0.0	-0.03488721	-1.1641532e-10	7.5074175e-05	0.022692509	-0.010028321	0.001612734	-0.0005897785	0	0	79.0	1.7640313	0.011484199	24000	26.28945279121399
6	0.6781287	1.1482713	1.845197	-0.5142567	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.069351904	0.053801373	0.31407955	-0.16018137	0.0029416033	0.03367926	0.25596488	-0.2062936	-3.7252903e-08	-0.031601526	8.731149e-11	-4.391998e-05	0.053100355	-0.03315314	0.0012288422	-0.00036766368	0	0	60.0	1.7363399	0.011883568	28000	29.982465028762817
7	1.2848461	0.49977118	1.6682426	0.42783564	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.109548174	0.16274749	0.81016845	-0.25742596	0.0017532108	0.0323575	0.17159078	-0.21346858	-7.450581e-09	-0.028423462	2.0372681e-10	-3.6085406e-05	0.07927227	-0.04790256	0.001053536	-0.00034253843	0	0	35.0	1.693428	0.012184708	32000	33.571518898010254
8	1.0961124	0.8635922	1.7817173	-0.38117078	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.11233191	0.10888645	0.6577208	-0.36136684	0.0005005945	0.02729793	0.127713	-0.15195662	2.6077032e-08	-0.034563407	3.4924597e-10	3.7021906e-05	0.0580658	-0.03595022	0.000766761	-0.0002232245	0	0	51.0	1.6778469	0.0121038	36000	37.46089196205139
9	0.9601899	0.76979685	1.7567968	0.09877105	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.13092443	0.15683226	0.85397536	-0.38003674	-0.0003386122	0.02564678	0.113226905	-0.107166424	-2.2351742e-08	-0.0323314	-3.6379788e-11	-0.00012173441	0.051211298	-0.029718343	0.0006690777	-0.00020415816	0	0	50.0	1.6397452	0.0122045325	40000	41.37925577163696
10	3.3836374	1.570752	5.939864	2.062577	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.16125293	0.12844609	0.6269294	-0.20053707	6.483054e-05	0.024669884	0.12632942	-0.12851873	7.450581e-09	-0.034033194	-9.822543e-11	-1.5368641e-05	0.120533526	-0.066340104	0.00061942724	-0.0001792949	0	0	52.0	1.6404388	0.012098366	44000	44.936712980270386
11	1.8853744	0.15948656	2.076677	1.6845807	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.33118632	0.19826524	1.1722492	-0.13516892	-0.0011803774	0.02230584	0.1454184	-0.14482087	2.2351742e-08	-0.035263024	-2.4738256e-10	-4.9878203e-05	0.082399175	-0.05252755	0.0005314469	-0.0001460667	0	0	53.0	1.6241035	0.012323029	48000	48.65959405899048
12	1.502905	1.2450484	3.4187589	0.31238016	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.12376758	0.2089719	0.9141057	-0.4055319	0.002748892	0.020648466	0.13225175	-0.091083914	-3.7252903e-09	-0.039754793	-1.1641532e-10	4.255416e-05	0.046754465	-0.029147988	0.00045446696	-0.00011688971	0	0	77.0	1.6192894	0.011595055	52000	53.13493299484253
13	1.3864108	1.0747234	2.95504	0.16206117	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.14773911	0.16776446	0.83712125	-0.3227151	-0.0016613147	0.020489091	0.13719998	-0.10060953	9.313226e-09	-0.03261053	2.910383e-10	2.996676e-07	0.0406996	-0.022315132	0.00042499608	-0.000109181055	0	0	53.0	1.5998899	0.011975901	56000	57.5650839805603
14	2.7113152	0.94315445	3.957172	1.7275965	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.24521121	0.14217053	0.7610417	-0.24196197	-0.0013807548	0.02000584	0.085940704	-0.11195856	-2.9802322e-08	-0.027743103	2.910383e-11	-3.3873188e-05	0.07176037	-0.03843513	0.00040434595	-9.858806e-05	0	0	27.0	1.5778053	0.0118295485	60000	61.241929054260254
15	3.096095	0.75929815	3.9379666	1.86334	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.24942182	0.20637211	1.2327063	-0.21845056	-0.0005921825	0.018903153	0.12519306	-0.12881903	1.3038516e-08	-0.027950142	-8.731149e-11	1.8830826e-05	0.085930616	-0.04956248	0.00038041337	-0.00010693501	0	0	31.0	1.5631156	0.01168558	64000	64.77547979354858
16	2.6528225	0.65480006	3.4107363	1.6973953	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.2901043	0.18817984	1.0927134	-0.20088181	-0.00010230991	0.01766	0.17288212	-0.10460364	-2.6077032e-08	-0.037765104	3.0559022e-10	-3.9546412e-05	0.059294082	-0.032966793	0.00033161792	-8.223625e-05	0	0	58.0	1.549079	0.012014613	68000	68.507071018219
17	3.9653006	0.75898576	5.2336164	3.217722	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.33087483	0.19516599	1.007755	-0.26480407	0.00012941122	0.0169443	0.1038805	-0.14173381	1.7695129e-08	-0.037712123	-1.4188117e-10	1.3725759e-05	0.09043285	-0.055484407	0.00029720654	-7.985217e-05	0	0	52.0	1.5163987	0.012060909	72000	72.0520248413086
18	3.5817952	1.3283956	4.9627347	1.6288309	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.43225774	0.22025718	1.3917836	-0.19327852	0.0010100857	0.016893385	0.10683151	-0.11043381	-7.450581e-09	-0.022901712	1.09139364e-10	-6.1071187e-06	0.095615745	-0.05794431	0.00029441592	-8.180618e-05	0	0	16.0	1.4896514	0.012054938	76000	75.5084547996521
19	3.1123064	1.0766026	4.672722	2.110382	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.31523332	0.25108042	1.1514884	-0.4649468	0.00063366257	0.015043401	0.09797323	-0.08879642	-1.4901161e-08	-0.0069678603	5.4569682e-11	-8.113466e-05	0.08704517	-0.05875516	0.00024240416	-5.8646387e-05	0	0	3.0	1.4810886	0.010673768	80000	78.75269794464111
20	3.9010189	0.52878726	4.7551594	3.4153612	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.3499563	0.24978627	1.3501694	-0.20442335	-0.0004261649	0.0147500625	0.1290859	-0.10108402	-7.450581e-09	-0.036960185	-4.3655746e-11	-5.786323e-05	0.04701785	-0.028766531	0.00022345077	-5.9488415e-05	0	0	56.0	1.4786633	0.012075091	84000	82.4400589466095
21	4.6092806	0.59614253	5.0431066	3.5910358	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.4295129	0.27100655	1.3323305	-0.43590146	0.0001552408	0.014988507	0.09092877	-0.09590762	1.6763806e-08	-0.035476297	-2.0372681e-10	5.2368687e-06	0.10342292	-0.0694693	0.0002407199	-6.617444e-05	0	0	41.0	1.4592857	0.012137942	88000	86.13448715209961
22	5.635067	1.1231071	6.988207	3.9879837	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.51371986	0.34943017	1.5280275	-0.4575023	0.001032539	0.014875166	0.087654166	-0.17210382	-1.3038516e-08	-0.041180853	-3.0559022e-10	-1.2825247e-05	0.11395747	-0.07925404	0.00023177233	-7.2760085e-05	0	0	55.0	1.4352379	0.012058996	92000	89.91976881027222
23	5.4496417	0.71098787	6.6037188	4.6676803	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.5942363	0.25183424	1.325099	-0.1638011	-0.00022490461	0.013274891	0.08545399	-0.12910226	7.450581e-09	-0.040184837	-4.274625e-11	-8.96712e-06	0.0850976	-0.056615256	0.00018177104	-4.5714944e-05	0	0	56.0	1.4209292	0.012368566	96000	93.61386179924011
24	4.9753156	0.83479565	6.0113344	3.7907495	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.50573695	0.3017032	1.679111	-0.24683084	-0.00051101204	0.01260776	0.06649809	-0.08170619	1.4901161e-08	-0.034158327	-1.4551915e-11	-5.0741735e-05	0.110568754	-0.07211594	0.00015990747	-3.8118247e-05	0	0	36.0	1.4078202	0.012279971	100000	97.25766086578369
25	5.762186	1.1011766	6.975063	4.221335	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.5244327	0.30972192	1.580162	-0.5737444	-0.00035005057	0.012949837	0.065566316	-0.103689715	-1.4901161e-08	-0.041346774	-1.6734703e-10	2.1050686e-05	0.069387674	-0.04457538	0.00017196767	-4.6521312e-05	0	0	51.0	1.3870928	0.012363579	104000	101.10540914535522
26	5.353574	1.5194391	7.755811	3.5449436	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.5916491	0.3244774	1.6791978	-0.3333126	0.00022110148	0.012013202	0.064171925	-0.09047353	-1.1175871e-08	-0.0359732	1.0186341e-10	3.4963952e-05	0.09085207	-0.051449865	0.00014823355	-3.8278984e-05	0	0	33.0	1.3487241	0.012445787	108000	104.8021879196167
