Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	2.1981826	2.5658696	5.1837125	-1.8637446	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.1419103	0.34021267	0.83360904	-1.210585	1.1705637	0.4011459	1.8918743	0.108796	-3.7252903e-09	-0.0142309405	1.8626451e-09	0.00018519082	0.42550018	-0.28852874	1.3538482	-1.3017268	0	0	79.0	1.837877	0.006006672	4000	5.774888038635254
1	0.4309778	1.4490223	2.3014207	-1.6219525	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.16736335	0.42483178	1.2973933	-0.8241354	0.09062198	0.050213296	0.27896687	-0.17740649	-2.9802322e-08	-0.017654356	8.58563e-10	-0.00011718547	0.099451065	-0.05261662	0.009467104	-0.008145988	0	0	79.0	1.824051	0.008535517	8000	9.184113025665283
2	1.8778825	3.4846702	7.8584456	-0.8288352	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.02518109	0.37871972	1.1617802	-0.773881	0.008463557	0.030452717	0.1419573	-0.18088005	4.4703484e-08	-0.017558021	1.382432e-10	-5.706092e-05	0.22942075	-0.08913773	0.0010094946	-0.00045201794	0	0	79.0	1.7966197	0.009489361	12000	12.448328018188477
3	4.2493997	4.2474656	9.967063	-0.60216224	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.34926236	0.63283885	1.8507947	-0.94010353	-0.00031636973	0.026116928	0.121439815	-0.18916477	7.450581e-09	-0.01767059	2.910383e-11	3.0808667e-05	0.25921047	-0.05369921	0.00075156614	-0.00025016908	0	0	79.0	1.7366452	0.0077206865	16000	15.810834884643555
4	10.927835	2.1721382	14.337947	8.727776	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.96423644	0.6331662	2.4708707	-0.6927123	0.0012390765	0.024227543	0.117255256	-0.12620035	1.6763806e-08	-0.017672503	2.764864e-10	-2.2300708e-05	0.2881804	-0.054824486	0.0006017586	-0.00023161991	0	0	79.0	1.7288771	0.008807861	20000	19.34219193458557
5	8.315605	4.882068	14.023275	1.6687397	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.9666091	0.60781443	2.1440227	-0.4683326	0.002783502	0.018580725	0.108717926	-0.1148104	7.450581e-09	-0.017908521	5.820766e-11	3.2604054e-05	0.2634545	-0.03429582	0.00036563654	-9.7343094e-05	0	0	79.0	1.7022462	0.008333994	24000	23.203109979629517
6	7.3538837	5.093079	13.411354	-0.7104607	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.8247556	0.61872816	2.2925603	-0.27478138	0.0005520424	0.017142098	0.081960216	-0.096397564	9.313226e-09	-0.017520525	1.7462298e-10	-7.619643e-06	0.23544767	-0.071261026	0.00030700504	-8.071643e-05	0	0	79.0	1.686471	0.00717525	28000	26.74190378189087
7	11.191288	1.2604303	12.987929	9.461209	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.0613674	0.6467626	2.508248	-0.4543008	-0.0027051815	0.015592306	0.11041357	-0.116228156	-1.1175871e-08	-0.019758398	5.820766e-11	2.2707396e-05	0.2165929	-0.040067375	0.00025273254	-5.9892383e-05	0	0	79.0	1.685463	0.009937242	32000	30.210594177246094
8	13.77416	3.7099223	18.46145	8.095257	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.3634826	0.65964204	2.6295602	-0.4217527	0.00064078294	0.013366259	0.07166694	-0.078626476	-1.1175871e-08	-0.01767272	-1.6007107e-10	2.4505447e-05	0.22345096	-0.039088733	0.00022038016	-4.163953e-05	0	0	79.0	1.6671233	0.008858529	36000	33.66102886199951
9	11.344417	0.8796029	12.663348	10.186697	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.3248438	0.53013384	2.3521442	0.004736173	-0.0014328263	0.012115987	0.07781644	-0.077200726	-1.3038516e-08	-0.019900199	-1.2369128e-10	-1.2307253e-05	0.11743641	-0.024332905	0.00014919293	-2.7667793e-05	0	0	79.0	1.6339948	0.0103688855	40000	37.272570848464966
